control_index,control_r,alpha,one_minus_alpha,gamma
0,-0.0,1.0,0.0,-0.0
1,0.30102999566398114,0.5,0.5,1.2041199826559246
2,0.6989700043360187,0.2,0.8,2.795880017344075
3,0.9999999999999998,0.1,0.9,3.999999999999999
