method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_count,mean_final_ratio,sem_final_ratio,mean_tail_ratio,sem_tail_ratio,mean_peak_ratio,sem_peak_ratio,mean_optimal_mass
CVaR,0,-0.0,1.0,0.0,-0.0,5,0.6598126984126984,0.021394484587703787,0.6420126984126985,0.024646173970992252,0.6604126984126985,0.02164809832871436,0.064
CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,5,0.6692698412698412,0.02396567893242047,0.653179365079365,0.02263621092072544,0.6700698412698414,0.02419268133514609,0.08800000000000001
CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,5,0.6556095238095239,0.02991607459668424,0.641368253968254,0.027687604954708383,0.6604095238095239,0.032187709799417534,0.057999999999999996
CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,5,0.6559746031746032,0.026718681602692206,0.6381571428571429,0.023337501571330157,0.6607746031746032,0.024790903552855747,0.08399999999999999
QTL,0,-0.0,1.0,0.0,-0.0,5,0.6598126984126984,0.021394484587703787,0.6420126984126985,0.024646173970992252,0.6604126984126985,0.02164809832871436,0.064
QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,5,0.6622126984126984,0.02576710409248924,0.6505587301587302,0.02448075606441747,0.6646126984126984,0.0256875147730943,0.094
QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,5,0.652320634920635,0.03752236937585002,0.6348666666666667,0.030320116168056556,0.652520634920635,0.037495814967615566,0.08600000000000001
QTL,3,0.9999999999999998,0.1,0.9,3.999999999999999,5,0.6410190476190476,0.02867129609826961,0.6260952380952381,0.021214343167043147,0.6490857142857143,0.027033184444761413,0.08600000000000001
