control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,graph_seed,init_id,init_seed,device_seed,final_mean_ratio_cvar,final_mean_ratio_qtl,tail_mean_ratio_cvar,tail_mean_ratio_qtl,peak_mean_ratio_cvar,peak_mean_ratio_qtl,final_optimal_mass_cvar,final_optimal_mass_qtl,final_mean_ratio_cvar_minus_qtl,tail_mean_ratio_cvar_minus_qtl,peak_mean_ratio_cvar_minus_qtl,final_optimal_mass_cvar_minus_qtl
0,-0.0,1.0,0.0,-0.0,erdos_renyi,0,0,20262429,910000,0.7142857142857143,0.7142857142857143,0.6942857142857144,0.6942857142857144,0.7142857142857143,0.7142857142857143,0.12000000000000001,0.12000000000000001,0.0,0.0,0.0,0.0
0,-0.0,1.0,0.0,-0.0,erdos_renyi,1,0,20262429,920000,0.6679999999999999,0.6679999999999999,0.6445000000000001,0.6445000000000001,0.6679999999999999,0.6679999999999999,0.01,0.01,0.0,0.0,0.0,0.0
0,-0.0,1.0,0.0,-0.0,erdos_renyi,2,0,20262429,930000,0.604,0.604,0.5720000000000001,0.5720000000000001,0.604,0.604,0.08,0.08,0.0,0.0,0.0,0.0
0,-0.0,1.0,0.0,-0.0,erdos_renyi,3,0,20262429,940000,0.6177777777777778,0.6177777777777778,0.6027777777777777,0.6027777777777777,0.6177777777777778,0.6177777777777778,0.04,0.04,0.0,0.0,0.0,0.0
0,-0.0,1.0,0.0,-0.0,erdos_renyi,4,0,20262429,950000,0.6950000000000001,0.6950000000000001,0.6965000000000001,0.6965000000000001,0.6980000000000001,0.6980000000000001,0.07,0.07,0.0,0.0,0.0,0.0
1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,0,0,20262429,910100,0.7485714285714286,0.7442857142857141,0.7092857142857143,0.7135714285714285,0.7485714285714286,0.7442857142857141,0.14,0.15000000000000002,0.004285714285714448,-0.004285714285714226,0.004285714285714448,-0.010000000000000009
1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,1,0,20262429,920100,0.6530000000000001,0.6540000000000001,0.6520000000000001,0.6600000000000001,0.6530000000000001,0.666,0.02,0.07,-0.0010000000000000009,-0.008000000000000007,-0.0129999999999999,-0.05
1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,2,0,20262429,930100,0.6119999999999999,0.595,0.5914999999999999,0.576,0.6119999999999999,0.595,0.15000000000000002,0.13,0.016999999999999904,0.015499999999999958,0.016999999999999904,0.020000000000000018
1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,3,0,20262429,940100,0.6377777777777778,0.6277777777777778,0.616111111111111,0.6172222222222222,0.6377777777777778,0.6277777777777778,0.08,0.09000000000000001,0.010000000000000009,-0.0011111111111111738,0.010000000000000009,-0.010000000000000009
1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,4,0,20262429,950100,0.6950000000000001,0.6900000000000001,0.6970000000000001,0.686,0.6990000000000001,0.6900000000000001,0.05,0.03,0.0050000000000000044,0.01100000000000001,0.009000000000000008,0.020000000000000004
2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,0,0,20262429,910200,0.7257142857142858,0.7157142857142856,0.6742857142857143,0.665,0.7257142857142858,0.7157142857142856,0.12,0.14,0.01000000000000012,0.00928571428571423,0.01000000000000012,-0.020000000000000018
2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,1,0,20262429,920200,0.655,0.632,0.641,0.6325000000000001,0.655,0.633,0.05,0.02,0.02300000000000002,0.008499999999999952,0.02200000000000002,0.030000000000000002
2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,2,0,20262429,930200,0.562,0.5479999999999999,0.5625,0.546,0.5630000000000001,0.5479999999999999,0.05,0.05,0.014000000000000123,0.01649999999999996,0.015000000000000124,0.0
2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,3,0,20262429,940200,0.6233333333333333,0.6088888888888889,0.6055555555555555,0.6033333333333333,0.6233333333333333,0.6088888888888889,0.06,0.05,0.014444444444444371,0.0022222222222222365,0.014444444444444371,0.009999999999999995
2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,4,0,20262429,950200,0.712,0.757,0.7235,0.7275,0.7350000000000001,0.757,0.01,0.17,-0.04500000000000004,-0.0040000000000000036,-0.02199999999999991,-0.16
3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,0,0,20262429,910300,0.7214285714285715,0.7214285714285715,0.6742857142857144,0.6671428571428571,0.7214285714285715,0.7214285714285715,0.16999999999999998,0.17,0.0,0.0071428571428572285,0.0,-2.7755575615628914e-17
3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,1,0,20262429,920300,0.6050000000000001,0.607,0.617,0.6255,0.629,0.6439999999999999,0.02,0.0,-0.0019999999999998908,-0.008499999999999952,-0.014999999999999902,0.02
3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,2,0,20262429,930300,0.618,0.591,0.5845,0.5705,0.618,0.591,0.12000000000000001,0.12000000000000001,0.027000000000000024,0.014000000000000012,0.027000000000000024,0.0
3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,3,0,20262429,940300,0.6144444444444443,0.5866666666666667,0.605,0.5883333333333334,0.6144444444444443,0.5900000000000001,0.03,0.04,0.02777777777777768,0.016666666666666607,0.02444444444444427,-0.010000000000000002
3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,4,0,20262429,950300,0.7210000000000001,0.6990000000000001,0.7100000000000001,0.679,0.7210000000000001,0.6990000000000001,0.08,0.1,0.02200000000000002,0.031000000000000028,0.02200000000000002,-0.020000000000000004
