,gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass
0,0.0,0.7373642113095238,0.05673709866100728,0.7257786458333333,0.0570208665882293,0.7288650173611111,0.05647177602534648,0.1349609375
1,0.25,0.7560667782738095,0.04994536694759029,0.7386272321428572,0.051776054932179044,0.7478072296626983,0.049835089470621305,0.16328125
2,0.33,0.771190166170635,0.05012584714609479,0.7542754216269841,0.0498979006939688,0.764879402281746,0.04963555225465744,0.1845703125
3,0.4,0.7753425719246032,0.0507170040327794,0.7606467633928572,0.05087465387037346,0.7644875372023809,0.05016464739236779,0.1814453125
4,0.5,0.7744363839285715,0.05077913942367579,0.7634950086805555,0.051042073930541366,0.7647333829365079,0.05059739731123895,0.185546875
5,0.56,0.7736954365079365,0.05118911281960763,0.7616333705357142,0.051329287476683125,0.7629464285714286,0.050838898662208,0.184375
6,0.64,0.7728862847222222,0.05098988858901765,0.7600521453373016,0.05146837437058625,0.761586681547619,0.051048175367653326,0.18671875
7,0.7,0.7735624379960317,0.05094028724465344,0.7606898251488096,0.051333059473130375,0.7660091145833333,0.05040829885940606,0.2056640625
8,0.8,0.7999045138888888,0.054214357796790236,0.7765501302083333,0.05068863142480444,0.792818080357143,0.05426311969211963,0.244140625
9,0.9,0.8053497023809524,0.05567246506627204,0.7926237289186508,0.055386711874738676,0.7955831473214285,0.05604892900617332,0.23984375
10,1.0,0.8041477554563492,0.05611504122418266,0.7943203435019841,0.055971285973231054,0.796829117063492,0.055366928019222966,0.2421875
11,1.1,0.8051410590277778,0.05598051474086054,0.7931605592757937,0.05635241035290962,0.7962608506944444,0.05526948194591396,0.24375
12,1.2,0.8066207837301587,0.05661301127004774,0.7924287884424602,0.05639199808026749,0.7950548735119047,0.055391907303398276,0.24296875
13,1.25,0.8058851066468253,0.05591721060661801,0.791928230406746,0.0561136524983754,0.794773685515873,0.05444194496993602,0.2431640625
14,1.28,0.8055171130952381,0.055991926211629024,0.7913898499503969,0.05616739162098529,0.794718501984127,0.054759956685446344,0.2447265625
15,1.3,0.8057393973214285,0.055786079429267374,0.7912257254464286,0.05629852176733006,0.7946788194444444,0.054691454074012935,0.2447265625
16,1.4,0.8059942336309524,0.05561665189184408,0.7906669456845238,0.056078758600705214,0.7932474578373017,0.05523881362979624,0.2439453125
17,1.5,0.8052647569444444,0.05574483938533682,0.7900186631944445,0.055759267177534516,0.793684585813492,0.05421632267695347,0.2458984375
18,2.0,0.8041468253968255,0.05531015804440375,0.7880744047619047,0.054875620856058654,0.7924708581349206,0.05389056982819095,0.2490234375
19,3.0,0.7992748635912699,0.05448874175475074,0.7848722408234127,0.05461862914570171,0.7877663070436508,0.052335753503017925,0.2482421875
20,4.0,0.7936387028769841,0.05374487314765598,0.7817786768353174,0.05360310105550587,0.783391617063492,0.05320380969003644,0.2505859375
21,5.0,0.7854566592261905,0.05134885056973406,0.7713246527777777,0.05277408755758443,0.7774773685515873,0.05290196913510659,0.2390625
22,6.0,0.7744791666666667,0.050544499363234276,0.7626402529761904,0.05215788906355688,0.7673918030753969,0.05230504992265906,0.2357421875
23,7.0,0.7688891989087302,0.05085507004919746,0.7567522321428571,0.052905505900673735,0.7616744171626985,0.05322419577985458,0.235546875
24,8.0,0.7670895337301588,0.051673027942904244,0.7559498077876985,0.05237448732554899,0.7612738715277778,0.05295276199533848,0.235546875
25,10.0,0.7644506448412699,0.05218345180508371,0.7533659164186508,0.05274077422597737,0.7581191096230159,0.05294170044836791,0.234375
26,12.0,0.7631281001984127,0.051515466276043836,0.7516310763888889,0.052943890905494305,0.7546230158730158,0.05322337649972725,0.2326171875
27,14.0,0.7623146081349207,0.05146351019172687,0.7482519221230158,0.054119564899019805,0.7511232018849207,0.05407741872466113,0.2328125
28,16.0,0.7592878844246032,0.050593079323279846,0.7484720672123016,0.05204469810965638,0.7509911334325396,0.05253202319870305,0.23046875
29,18.0,0.7557468377976191,0.05074052517761256,0.7448915550595239,0.05134231631675832,0.7476878720238095,0.051923885901241355,0.2291015625
30,24.0,0.7445303199404762,0.04910604316393879,0.7333210255456348,0.04950491300638364,0.7374689980158731,0.049692779027832625,0.215234375
31,32.0,0.7104315476190476,0.0472793341243315,0.6979626116071428,0.048430599648016784,0.7033221726190476,0.04790912137991862,0.180078125
32,45.0,0.6890922619047619,0.04732208015242363,0.6767838541666668,0.047212600746324496,0.6811985367063491,0.047051568962565696,0.155859375
33,55.0,0.6862348090277777,0.046185464571004926,0.6708382006448412,0.04630227931601559,0.6768911210317461,0.04675428268083863,0.146875
34,64.0,0.6842333209325397,0.04635316802170516,0.6696512896825396,0.045994677465310836,0.6755350942460318,0.04658993052406434,0.1396484375
