,iteration,loss,mean_cut,mean_ratio,best_ratio_step,best_ratio_so_far,best_cut_so_far,optimal_mass,gamma,lr,grad_norm,circuit_evals,shots_used,graph_family,n,p,seed,objective,mode
31,32,2.3642578125,12.607421875,0.8404947916666666,1.0,1.0,15,0.0986328125,,0.02434397688406908,1.4026283251691778,448,458752,erdos_renyi,14,3,0,Expectation,sampled
32,33,2.3388671875,12.6630859375,0.8442057291666667,1.0,1.0,15,0.103515625,,0.023998658801579687,1.06473127458188,462,473088,erdos_renyi,14,3,0,Expectation,sampled
33,34,2.3408203125,12.73828125,0.84921875,1.0,1.0,15,0.1142578125,,0.023666798318885542,0.8741680004399404,476,487424,erdos_renyi,14,3,0,Expectation,sampled
34,35,2.3828125,12.5849609375,0.8389973958333333,1.0,1.0,15,0.1015625,,0.02334755375070217,0.5177319567974873,490,501760,erdos_renyi,14,3,0,Expectation,sampled
35,36,2.2939453125,12.59765625,0.83984375,1.0,1.0,15,0.0859375,,0.023040154944674613,1.5455572507257684,504,516096,erdos_renyi,14,3,0,Expectation,sampled
36,37,2.291015625,12.6884765625,0.8458984375,1.0,1.0,15,0.1015625,,0.02274389567146551,1.0886525853545386,518,530432,erdos_renyi,14,3,0,Expectation,sampled
37,38,2.400390625,12.5849609375,0.8389973958333333,1.0,1.0,15,0.0947265625,,0.022458126979795854,1.137622801471443,532,544768,erdos_renyi,14,3,0,Expectation,sampled
38,39,2.34375,12.5947265625,0.8396484375,1.0,1.0,15,0.07421875,,0.022182251375256774,0.9033023646865648,546,559104,erdos_renyi,14,3,0,Expectation,sampled
39,40,2.404296875,12.671875,0.8447916666666667,1.0,1.0,15,0.109375,,0.02191571770500077,1.271795231897588,560,573440,erdos_renyi,14,3,0,Expectation,sampled
40,41,2.40625,12.541015625,0.8360677083333333,1.0,1.0,15,0.099609375,,0.02165801664945291,1.2179014724443151,574,587776,erdos_renyi,14,3,0,Expectation,sampled
41,42,2.34375,12.6689453125,0.8445963541666667,1.0,1.0,15,0.11328125,,0.02140867673780778,0.7784011779666465,588,602112,erdos_renyi,14,3,0,Expectation,sampled
42,43,2.3447265625,12.5302734375,0.8353515625,1.0,1.0,15,0.0908203125,,0.02116726081696399,1.039291471335225,602,616448,erdos_renyi,14,3,0,Expectation,sampled
43,44,2.3974609375,12.6083984375,0.8405598958333333,1.0,1.0,15,0.0966796875,,0.02093336291422007,0.43497939839303557,616,630784,erdos_renyi,14,3,0,Expectation,sampled
44,45,2.330078125,12.6552734375,0.8436848958333333,1.0,1.0,15,0.1015625,,0.02070660544293041,0.8470254124023501,630,645120,erdos_renyi,14,3,0,Expectation,sampled
45,46,2.3857421875,12.6728515625,0.8448567708333333,1.0,1.0,15,0.103515625,,0.02048663670772878,1.0697897866791892,644,659456,erdos_renyi,14,3,0,Expectation,sampled
46,47,2.4130859375,12.6220703125,0.8414713541666666,1.0,1.0,15,0.1025390625,,0.02027312867213555,1.3133139130242495,658,673792,erdos_renyi,14,3,0,Expectation,sampled
47,48,2.4423828125,12.6552734375,0.8436848958333333,1.0,1.0,15,0.0966796875,,0.020065774956585968,0.8891428611116554,672,688128,erdos_renyi,14,3,0,Expectation,sampled
48,49,2.2783203125,12.7529296875,0.8501953125,1.0,1.0,15,0.111328125,,0.019864289039322903,1.34082066813087,686,702464,erdos_renyi,14,3,0,Expectation,sampled
49,50,2.322265625,12.591796875,0.839453125,1.0,1.0,15,0.1064453125,,0.019668402636328148,1.0345282034922012,700,716800,erdos_renyi,14,3,0,Expectation,sampled
50,51,2.4228515625,12.5791015625,0.8386067708333333,1.0,1.0,15,0.1123046875,,0.019477864239635097,1.642773483942158,714,731136,erdos_renyi,14,3,0,Expectation,sampled
51,52,2.3291015625,12.669921875,0.8446614583333333,1.0,1.0,15,0.1171875,,0.019292437796065362,1.1145752998609193,728,745472,erdos_renyi,14,3,0,Expectation,sampled
52,53,2.4072265625,12.6083984375,0.8405598958333333,1.0,1.0,15,0.109375,,0.019111901510738816,1.2116338880916016,742,759808,erdos_renyi,14,3,0,Expectation,sampled
