,graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
46,erdos_renyi,8,2,1,1.1,0.0,1.1,0.86904296875,0.8690625000000001,0.8787109375,0.119140625
47,erdos_renyi,8,2,1,1.2,0.0,1.2,0.86689453125,0.868603515625,0.8796875,0.119140625
48,erdos_renyi,8,2,1,1.25,0.0,1.25,0.86640625,0.8675976562500001,0.87880859375,0.12109375
49,erdos_renyi,8,2,1,1.28,0.0,1.28,0.866796875,0.8672167968750001,0.8787109375,0.12109375
50,erdos_renyi,8,2,1,1.3,0.0,1.3,0.86640625,0.8671875000000002,0.879296875,0.12109375
51,erdos_renyi,8,2,1,1.4,0.0,1.4,0.8640625,0.866162109375,0.876953125,0.12109375
52,erdos_renyi,8,2,1,1.5,0.0,1.5,0.86220703125,0.864794921875,0.877734375,0.1240234375
53,erdos_renyi,8,2,1,2.0,0.0,2.0,0.8603515625,0.860556640625,0.87548828125,0.1259765625
54,erdos_renyi,8,2,1,3.0,0.0,3.0,0.84638671875,0.853828125,0.86767578125,0.126953125
55,erdos_renyi,8,2,1,4.0,0.0,4.0,0.83447265625,0.8427539062499999,0.8505859375,0.1279296875
56,erdos_renyi,8,2,1,5.0,0.0,5.0,0.808984375,0.7986718749999999,0.81494140625,0.06640625
57,erdos_renyi,8,2,1,6.0,0.0,6.0,0.75869140625,0.7548535156249999,0.7650390625,0.041015625
58,erdos_renyi,8,2,1,7.0,0.0,7.0,0.7291015625,0.7282519531249999,0.73681640625,0.033203125
59,erdos_renyi,8,2,1,8.0,0.0,8.0,0.72412109375,0.7214550781249999,0.73037109375,0.0322265625
60,erdos_renyi,8,2,1,10.0,0.0,10.0,0.71240234375,0.7105078125000001,0.722265625,0.0283203125
61,erdos_renyi,8,2,1,12.0,0.0,12.0,0.7099609375,0.7091308593750001,0.72216796875,0.0263671875
