,gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass
0,0.0,0.7338034285714286,0.056298819668273846,0.729999492063492,0.05699405842591324,0.7302508253968254,0.05734589455876307,0.14162
1,0.25,0.732738761904762,0.05630977982899617,0.729166092063492,0.056815899794365625,0.729267873015873,0.057267188793425516,0.14564000000000002
2,0.33,0.7324004126984127,0.05634560796544585,0.7288065555555556,0.05676515225566331,0.7290440952380952,0.05716376649266662,0.1466
3,0.38,0.7322148888888889,0.05636083198178509,0.7285251206349207,0.05670143859968001,0.7285488571428571,0.057083384509158244,0.14696
4,0.4,0.7323430158730158,0.0563103638199926,0.7284975555555556,0.05662301023914197,0.7286294920634921,0.056911586689042074,0.14699999999999996
5,0.5,0.7317525714285715,0.056112513852954043,0.7280826920634921,0.05629488391051179,0.728550253968254,0.05658207453597524,0.14736
6,0.56,0.7310764444444444,0.055769476322703994,0.7273676285714286,0.055969744561894096,0.7278653650793651,0.05625566090081291,0.14811999999999997
7,0.6,0.7316156507936509,0.05559674294041208,0.7278178888888889,0.05579461897601783,0.728774126984127,0.05589543712147038,0.1493
8,0.64,0.732313746031746,0.054758140782620285,0.7277139111111112,0.0552951915294139,0.7292250793650794,0.05502723955408638,0.15094
9,0.7,0.7328385079365078,0.05397231146104894,0.7272882793650793,0.054677365539150244,0.7293727301587303,0.05410527316811762,0.15268
10,0.74,0.7340306666666667,0.05334185739589917,0.7266511333333334,0.054055692717644835,0.729054,0.053457367836435794,0.15322
11,0.8,0.7413040317460318,0.05079601238006084,0.7303930349206349,0.05222071237867345,0.7341984761904762,0.05117707835999292,0.16118
12,0.85,0.7498190793650794,0.0493292389329565,0.7351803015873016,0.05073557995556436,0.7420853015873016,0.04995582877009276,0.17675999999999997
13,0.9,0.7605671111111112,0.048930685424623456,0.7431710761904762,0.049693685829921584,0.7574286666666666,0.04941205340580145,0.20476
14,1.0,0.7927490793650793,0.054831423425038134,0.7747728349206349,0.051510776620199976,0.7896217460317461,0.05576398770670359,0.24112
15,1.1,0.7953849841269841,0.05586814030972318,0.7879919555555556,0.05563088410817798,0.7921247619047619,0.05692854312381042,0.23973999999999998
16,1.2,0.7952368888888889,0.0558563874563958,0.7909463333333333,0.05659596127738365,0.7912159365079365,0.056569629459162,0.24094
17,1.25,0.7955790793650793,0.05589439910939153,0.7909458761904762,0.05653705137641279,0.7910611428571428,0.056336264543672854,0.24147999999999997
18,1.28,0.7954941904761905,0.05592590261474888,0.7906740000000001,0.05657836238262824,0.790806507936508,0.056486996618305106,0.24151999999999996
19,1.3,0.7956044126984128,0.05588524900168063,0.7905782253968254,0.056558133841502774,0.7905567936507937,0.05636867427751414,0.24152
20,1.4,0.7948607301587302,0.055609344803027656,0.7897347968253968,0.05629492166685899,0.7895932380952381,0.056209887505157,0.24174
21,1.5,0.7947171428571429,0.05561276663185332,0.7890801142857142,0.056160315324195464,0.7890239682539683,0.056082194151320486,0.24242
22,2.0,0.7929535555555556,0.05526504184762509,0.7858904761904761,0.055641074558776545,0.7864312063492063,0.055904743719510666,0.24452
23,3.0,0.7849900634920635,0.05330014568017465,0.7776268158730159,0.05349233760873233,0.7783351111111111,0.0539469602944628,0.24086
24,4.0,0.7669700952380953,0.051808158311487176,0.7581513492063492,0.052271565547246074,0.7604370158730159,0.05278634333532242,0.22627999999999998
25,5.0,0.7620482857142857,0.052177827229268045,0.7545728380952381,0.05281798156618836,0.7555803174603174,0.05364742421609274,0.22627999999999998
26,6.0,0.7598854920634921,0.05213397523052854,0.753381819047619,0.05300940270016237,0.7539715238095238,0.053880875133753524,0.22738
27,7.0,0.7590333333333333,0.05180937773329369,0.7529109714285714,0.05306222323987148,0.7531760634920635,0.053952446300842546,0.22776000000000002
28,8.0,0.7574653650793651,0.05171491441154669,0.7518022412698413,0.05319617540693015,0.7522260634920634,0.0542142049967774,0.22766000000000003
29,10.0,0.7550730158730159,0.05160587145182067,0.7500157428571429,0.05308200513889925,0.7504052698412698,0.05404012176733477,0.22712
30,12.0,0.7522969206349206,0.05139327313887425,0.7473621428571429,0.052781695037122864,0.7478651111111112,0.053706264899514196,0.22573999999999997
31,14.0,0.7484969841269842,0.05092944044475773,0.7435702603174603,0.05249451701924342,0.7438276825396826,0.05360744393173798,0.22224
32,16.0,0.7442360634920634,0.0504744739394513,0.739124838095238,0.05204015745988883,0.7396086031746031,0.05321510886165197,0.21874000000000002
33,18.0,0.7383859047619048,0.05009540170998991,0.7330068095238096,0.05153927533489197,0.7338482539682539,0.05253909439223866,0.21204
34,24.0,0.7194833968253969,0.04991079860999651,0.7143980634920635,0.05131407207105623,0.7149867936507937,0.05207659262097353,0.19329999999999997
35,32.0,0.6959909206349206,0.04888213143577835,0.6921509523809524,0.049405989485056395,0.6925084444444445,0.04987145524220547,0.17065999999999998
36,45.0,0.678478380952381,0.04599250333066593,0.674431453968254,0.045820532473121435,0.6745233650793651,0.04621647969728409,0.1442
37,55.0,0.6755929206349206,0.04532711600177146,0.6699214444444443,0.044890872560735505,0.6699138095238095,0.045693297062230395,0.13302
38,64.0,0.6755453968253968,0.0455663908280432,0.6686475968253968,0.044902380250805715,0.6684762222222222,0.04562220454564792,0.12802
39,128.0,0.6731790476190477,0.04439126098523681,0.6675072285714286,0.044366383192627964,0.6674426349206348,0.044473024125635044,0.11856
40,256.0,0.6634760952380953,0.04164497764276279,0.6588583619047619,0.041316076186919744,0.658275365079365,0.04122467286217806,0.10532
41,512.0,0.6364674603174603,0.044728491874183235,0.6321174126984127,0.04460827144266031,0.6308622857142858,0.044236867504978926,0.0819
42,1024.0,0.6108366349206349,0.05327980389779275,0.6064789428571429,0.0531085218002089,0.605373111111111,0.05245966938421585,0.05824
