,gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass
0,0.0,0.7302417650793651,0.05662411730487971,0.7281658977777778,0.056584110839765736,0.7292100190476191,0.056362694314256015,0.14011600000000002
1,0.25,0.730853326984127,0.05686619346620178,0.7289600304761905,0.05682541925233959,0.7296371492063491,0.056681440170791006,0.14467599999999997
2,0.33,0.7304077587301587,0.05687580451219135,0.7287799701587302,0.05682114883141133,0.7294290857142858,0.056682977120436434,0.14538
3,0.4,0.7295145904761904,0.05670522729701208,0.7278205015873016,0.056686793078592895,0.7285669587301586,0.05655673355039692,0.145536
4,0.5,0.7567925714285715,0.0679209072574078,0.754303311111111,0.0675200556696314,0.7553997587301586,0.06738847344159363,0.19251999999999997
5,0.56,0.7516489714285715,0.06954002528390772,0.7483209917460318,0.06868081972993906,0.750166019047619,0.06909713609929265,0.192584
6,0.64,0.7918533777777779,0.05595847729749111,0.7883454393650793,0.055326501770766506,0.7898857206349207,0.05549512634470304,0.23113200000000003
7,0.7,0.7893734666666666,0.05540182560545974,0.7857971238095238,0.054767103264394504,0.7871939873015873,0.05490912032215178,0.229
8,0.8,0.7817145777777779,0.05416549370976615,0.7695790926984127,0.05363717586559633,0.7793459873015873,0.0536143619047262,0.221496
9,0.9,0.7634195873015873,0.05523729405339973,0.7576224685714286,0.055543532068321876,0.7608833714285714,0.05451116719085535,0.21756000000000003
10,1.0,0.7578934793650793,0.05645176663377539,0.754187486984127,0.05623414284405965,0.7552589523809524,0.055661676853514974,0.217064
11,1.1,0.7567076761904762,0.05654301464153169,0.7531519638095239,0.05621473875514426,0.7538844761904762,0.05579023834360524,0.21734
12,1.2,0.7558060698412697,0.05625976582161798,0.7525630622222221,0.05604777383632927,0.7530910476190475,0.05572696421056932,0.217524
13,1.25,0.7553788952380952,0.056146262458159214,0.7522273765079366,0.05598477494799372,0.7527088253968254,0.055634964797402923,0.21771599999999997
14,1.28,0.7552866349206349,0.0560232068814283,0.7521674666666668,0.055911437204175386,0.7527189396825398,0.05555444141832453,0.21766800000000003
15,1.3,0.7554451873015873,0.05598277557600921,0.7521946666666667,0.05584774200976952,0.7528004698412698,0.05546985257784675,0.21779600000000002
16,1.4,0.7563132317460317,0.05544887108209781,0.7525324126984126,0.05546329998901092,0.7536089968253968,0.05497585001131568,0.2183
17,1.5,0.7570222793650794,0.05498233657193725,0.7528589447619047,0.05516080480897562,0.7541072,0.05460264375504174,0.21868400000000002
18,2.0,0.7784413968253968,0.05233735984026642,0.7703787771428571,0.05257462118377168,0.7756485015873016,0.05298429220562407,0.226308
19,3.0,0.8160393777777777,0.006818729036708346,0.8049468266666666,0.0023957778098238815,0.8137087936507937,0.007645829327345541,0.26550399999999996
20,4.0,0.7784196063492063,0.01625638037698769,0.7724749346031746,0.01887290532194424,0.774015053968254,0.01824567755847921,0.21581999999999998
21,5.0,0.7704154222222221,0.019353891525434156,0.7663595136507937,0.02073103206131184,0.7666179555555556,0.020621787639985102,0.20863199999999998
22,6.0,0.7654726285714285,0.02045931138753807,0.7615259885714285,0.02129941570972215,0.7622305714285714,0.021325238101788206,0.20389600000000002
23,7.0,0.7551660888888889,0.020543336014038207,0.746652466031746,0.02194883723867585,0.7522311746031746,0.02116343701439422,0.194108
24,8.0,0.7293990285714285,0.029299330241505807,0.7212608685714286,0.03186945082092815,0.7268434285714285,0.02915909310437122,0.17498
25,10.0,0.6972369587301587,0.03742102242923514,0.6912847758730158,0.03838728362739882,0.6948773142857143,0.037300143774696946,0.14884
26,12.0,0.6853287746031747,0.038441056685631664,0.6783829174603174,0.04116589057332541,0.6801440190476191,0.0404177010135338,0.137288
27,14.0,0.6785427238095239,0.039497305549210715,0.6716576444444444,0.04213680519176895,0.6728978793650794,0.0414918199432735,0.130272
28,16.0,0.6740950158730159,0.0397457920694609,0.6682137866666666,0.041663708361388614,0.6692015936507937,0.04121964744333001,0.12494399999999999
29,18.0,0.6703504380952381,0.039375930395073096,0.6656609320634921,0.04060712260303304,0.6663275936507936,0.04044828876204553,0.11988399999999999
30,24.0,0.6579988317460318,0.03896658033922234,0.6544226438095239,0.03941843984014171,0.6555684317460317,0.039021896195850586,0.10511599999999999
31,32.0,0.6424615936507936,0.039457352900617255,0.6394867390476191,0.03995863832189601,0.6407447936507935,0.03930318176967809,0.08863199999999997
32,45.0,0.621130311111111,0.04400610501140231,0.6187395860317461,0.04431264526481579,0.6197865777777778,0.043529657234023855,0.067488
33,55.0,0.6079748507936508,0.04852134131659949,0.6053879047619047,0.04891095012970411,0.6068157841269841,0.04815116996401793,0.05622400000000001
34,64.0,0.5993855238095238,0.05135443682040571,0.5969691752380953,0.051645666498391606,0.5981399238095237,0.05095376659871457,0.048872000000000006
