gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass
0.0,0.7755211428571430,0.0271793298801625,0.7650253714285720,0.027690884309167100,0.7656335873015870,0.027822723849266500,0.14664
0.25,0.7771841269841270,0.029091747019576700,0.7659545142857140,0.029605967408739500,0.7678403174603180,0.03026038256725540,0.16216000000000000
0.4,0.7829454603174600,0.033884078556991000,0.7715099238095240,0.03503963932579780,0.7727137777777780,0.03513081317407280,0.1778
0.5,0.7824742857142860,0.033624317451535500,0.7711694158730160,0.0345953312097089,0.7725011428571430,0.03511032157793660,0.17980000000000000
0.6,0.7817198095238100,0.03396804935787660,0.7706056063492060,0.03481451473861330,0.7719137142857140,0.035012892230824700,0.18096
0.75,0.777864253968254,0.03536001032016650,0.7652915682539680,0.036311685599127700,0.7675664761904760,0.03633251030135660,0.17772000000000000
1.0,0.774448761904762,0.03621536236263130,0.7629744507936510,0.03741388673715940,0.764780126984127,0.037518886579626200,0.17728000000000000
1.5,0.7710403174603180,0.03565685981917470,0.7582923428571430,0.036951935991854600,0.7604772698412700,0.03679023434726640,0.181
2.0,0.7682638095238100,0.03560260219540000,0.7546828825396830,0.036839882375221300,0.7564899047619050,0.0366320977781524,0.18124000000000000
2.5,0.7477702857142860,0.040118232585645100,0.7338502158730160,0.0411533218528707,0.7363893968253970,0.040589453771967400,0.16836
3.0,0.742220253968254,0.04024863278049850,0.728886819047619,0.04111368652783320,0.7307695238095240,0.04087900694486340,0.16572
4.0,0.7305299047619050,0.033250780170002500,0.7165060761904760,0.033506202488297000,0.7195020952380950,0.03273852983593790,0.14768
5.0,0.7341852063492070,0.03845422233874330,0.7217145396825400,0.03909586948416680,0.7240545396825400,0.038422601012232700,0.15776
6.0,0.7276893333333330,0.03730968355683430,0.7152004444444440,0.03731710966623720,0.7190652063492070,0.037742684393155100,0.14972000000000000
