gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass
0.0,0.7637299428571429,0.025378340333055825,0.7587681092063492,0.02593174313895521,0.7594623365079365,0.025973658244256403,0.159768
0.2,0.7622730920634921,0.024632606859296597,0.7572567517460318,0.025113515960983702,0.7576495111111111,0.025049893873696473,0.16536
0.4,0.7602310349206349,0.0250025326344698,0.7538922107936508,0.02492596623055911,0.7543748952380952,0.02482501023989667,0.169768
0.6,0.7722905142857143,0.03504239122518291,0.7657193866666667,0.03550393097864204,0.7659818031746032,0.035239027789780136,0.192776
0.8,0.7721530158730159,0.03512413832133289,0.7641396139682539,0.035638614535384465,0.7649665904761905,0.03530507179437259,0.196072
1.0,0.7714807492063492,0.03514279554918911,0.7626474336507937,0.03552396303341208,0.7633646857142857,0.03522182277122162,0.198072
1.2,0.7714135746031746,0.03504187135780784,0.7615287695238095,0.03546253860027207,0.7624603428571428,0.0350609281908404,0.20047199999999998
1.4,0.7721179555555555,0.03503709085719459,0.760621081904762,0.035424564118839284,0.7603866031746032,0.0350731316947618,0.20188
1.6,0.7715622984126984,0.034791671231755646,0.7590240558730159,0.03554366334486933,0.7605156571428572,0.03461440923914047,0.20446400000000003
2.0,0.7805915301587302,0.03301750466557678,0.7679987365079366,0.033178531041240654,0.7684906031746032,0.032622463902674155,0.21332
2.5,0.7801758476190477,0.0328105337223738,0.7651108215873016,0.032955651378134915,0.7653944634920635,0.03259374484967838,0.21561599999999997
3.0,0.7774015492063493,0.031206185820448446,0.7623347022222222,0.03166976539548589,0.7627812825396825,0.03146381398480333,0.21059200000000003
4.0,0.7748290158730159,0.029042409552680858,0.7588219301587301,0.028125361759629333,0.7604122412698413,0.027519231387980216,0.217536
