graph_family,n,p,seed,objective,num_init_points,final_mean_ratio,peak_mean_ratio,final_optimal_mass
erdos_renyi,10,2,0,Expectation,5,0.750704,0.753096,0.16899999999999998
erdos_renyi,10,2,0,Fixed QTL,5,0.7477039999999999,0.7508640000000001,0.17728000000000002
erdos_renyi,10,2,1,Ascending QTL,5,0.8383228571428571,0.846637142857143,0.1008
erdos_renyi,10,2,1,Expectation,5,0.8444685714285715,0.8483914285714287,0.0856
erdos_renyi,10,2,1,Fixed QTL,5,0.8395314285714287,0.8444114285714287,0.09
erdos_renyi,10,2,2,Ascending QTL,5,0.7675454545454545,0.776309090909091,0.09632
erdos_renyi,10,2,2,Expectation,5,0.7746363636363637,0.7777163636363638,0.07755999999999999
erdos_renyi,10,2,2,Fixed QTL,5,0.7906727272727274,0.7942436363636365,0.09424
erdos_renyi,10,2,3,Ascending QTL,5,0.7586545454545455,0.7657345454545454,0.09988
erdos_renyi,10,2,3,Expectation,5,0.7618400000000001,0.7671381818181818,0.09172000000000001
erdos_renyi,10,2,3,Fixed QTL,5,0.7618545454545455,0.7670654545454546,0.09559999999999999
erdos_renyi,10,2,4,Ascending QTL,5,0.767603076923077,0.7765046153846156,0.058120000000000005
erdos_renyi,10,2,4,Expectation,5,0.7737415384615386,0.7773569230769232,0.052559999999999996
erdos_renyi,10,2,4,Fixed QTL,5,0.7707323076923078,0.7755446153846155,0.05763999999999999
erdos_renyi,10,3,0,Ascending QTL,5,0.8335319999999999,0.8419920000000001,0.3004
erdos_renyi,10,3,0,Expectation,5,0.837744,0.8432919999999999,0.2798
erdos_renyi,10,3,0,Fixed QTL,5,0.831048,0.836428,0.27652
erdos_renyi,10,3,1,Ascending QTL,5,0.8549428571428572,0.860117142857143,0.14744
erdos_renyi,10,3,1,Expectation,5,0.8619457142857143,0.8638828571428571,0.1278
erdos_renyi,10,3,1,Fixed QTL,5,0.8554657142857144,0.8575857142857144,0.12616
erdos_renyi,10,3,2,Ascending QTL,5,0.7982509090909091,0.8033090909090909,0.14232
erdos_renyi,10,3,2,Expectation,5,0.8081272727272728,0.8120690909090909,0.12616
erdos_renyi,10,3,2,Fixed QTL,5,0.7910836363636363,0.7947963636363637,0.09876
erdos_renyi,10,3,3,Ascending QTL,5,0.8605781818181818,0.8637672727272727,0.17924
erdos_renyi,10,3,3,Expectation,5,0.8501818181818181,0.8516872727272726,0.1488
erdos_renyi,10,3,3,Fixed QTL,5,0.8619054545454545,0.8641127272727273,0.17672000000000002
erdos_renyi,10,3,4,Ascending QTL,5,0.8288953846153847,0.837809230769231,0.1092
erdos_renyi,10,3,4,Expectation,5,0.8358553846153848,0.8395323076923079,0.09616
erdos_renyi,10,3,4,Fixed QTL,5,0.8021600000000001,0.8078061538461541,0.0814
erdos_renyi,12,1,0,Ascending QTL,5,0.7473100000000001,0.755545,0.02148
erdos_renyi,12,1,0,Expectation,5,0.7521450000000001,0.7573825000000001,0.01988
erdos_renyi,12,1,0,Fixed QTL,5,0.7716274999999999,0.77516,0.02616
erdos_renyi,12,1,1,Ascending QTL,5,0.7494975,0.755415,0.01948
erdos_renyi,12,1,1,Expectation,5,0.7542850000000001,0.756565,0.0182
erdos_renyi,12,1,1,Fixed QTL,5,0.771885,0.774845,0.02596
erdos_renyi,12,1,2,Ascending QTL,5,0.6641169230769234,0.6723907692307696,0.022000000000000002
erdos_renyi,12,1,2,Expectation,5,0.6688861538461541,0.6746123076923081,0.019079999999999996
erdos_renyi,12,1,2,Fixed QTL,5,0.6648369230769233,0.6701076923076926,0.0212
erdos_renyi,12,1,3,Ascending QTL,5,0.6617200000000004,0.6702123076923081,0.021679999999999998
erdos_renyi,12,1,3,Expectation,5,0.6711415384615388,0.6746430769230772,0.01784
erdos_renyi,12,1,3,Fixed QTL,5,0.6656246153846157,0.6699507692307696,0.020200000000000003
erdos_renyi,12,1,4,Ascending QTL,5,0.7586613333333334,0.7643866666666668,0.06967999999999999
erdos_renyi,12,1,4,Expectation,5,0.7629733333333335,0.7662506666666669,0.06448
erdos_renyi,12,1,4,Fixed QTL,5,0.7618026666666669,0.7651093333333334,0.06748
erdos_renyi,12,2,0,Ascending QTL,5,0.8182875,0.8257775,0.07076
erdos_renyi,12,2,0,Expectation,5,0.8241525,0.8276975,0.060160000000000005
erdos_renyi,12,2,0,Fixed QTL,5,0.8225175,0.8252200000000001,0.06720000000000001
erdos_renyi,12,2,1,Ascending QTL,5,0.8182475,0.8258875,0.07084
erdos_renyi,12,2,1,Expectation,5,0.824635,0.8270349999999999,0.06152
erdos_renyi,12,2,1,Fixed QTL,5,0.8202774999999999,0.8224124999999999,0.06427999999999999
erdos_renyi,12,2,2,Ascending QTL,5,0.6920369230769232,0.6986800000000002,0.05228000000000001
erdos_renyi,12,2,2,Expectation,5,0.6966676923076924,0.7000584615384617,0.04584
erdos_renyi,12,2,2,Fixed QTL,5,0.6942000000000002,0.6981784615384619,0.04976
erdos_renyi,12,2,3,Ascending QTL,5,0.689969230769231,0.6979107692307693,0.047119999999999995
erdos_renyi,12,2,3,Expectation,5,0.6950738461538464,0.7004307692307694,0.04256
erdos_renyi,12,2,3,Fixed QTL,5,0.6939107692307694,0.6974769230769233,0.04564
erdos_renyi,12,2,4,Ascending QTL,5,0.77832,0.7857706666666668,0.12092
erdos_renyi,12,2,4,Expectation,5,0.7845946666666668,0.7865786666666668,0.10236
erdos_renyi,12,2,4,Fixed QTL,5,0.780896,0.7861200000000002,0.11356
erdos_renyi,12,3,0,Ascending QTL,5,0.8115225,0.82248,0.08236
erdos_renyi,12,3,0,Expectation,5,0.82112,0.8246475,0.06616000000000001
erdos_renyi,12,3,0,Fixed QTL,5,0.8182500000000001,0.82227,0.077
erdos_renyi,12,3,1,Ascending QTL,5,0.8149675000000001,0.8249625,0.09472
erdos_renyi,12,3,1,Expectation,5,0.8253575,0.8278700000000001,0.07712
erdos_renyi,12,3,1,Fixed QTL,5,0.8216125,0.8249324999999998,0.08768
erdos_renyi,12,3,2,Ascending QTL,5,0.7664769230769231,0.7743507692307694,0.09984
erdos_renyi,12,3,2,Expectation,5,0.7732215384615386,0.7765476923076926,0.08436
erdos_renyi,12,3,2,Fixed QTL,5,0.7716984615384616,0.7736030769230771,0.09424
erdos_renyi,12,3,3,Ascending QTL,5,0.7637138461538463,0.7744369230769232,0.09004000000000001
erdos_renyi,12,3,3,Expectation,5,0.7709446153846156,0.7758738461538462,0.0742
erdos_renyi,12,3,3,Fixed QTL,5,0.7699938461538463,0.7740984615384616,0.08524
erdos_renyi,12,3,4,Ascending QTL,5,0.8171039999999999,0.8284906666666668,0.19644
erdos_renyi,12,3,4,Expectation,5,0.8457733333333334,0.8513679999999999,0.18456
erdos_renyi,12,3,4,Fixed QTL,5,0.8301200000000002,0.8347493333333332,0.21172
