gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass
0.0,0.7983434285714290,0.03073185158078950,0.7937359365079370,0.03133169301504550,0.7939085714285710,0.03091135795114270,0.189768
0.2,0.7982220952380950,0.03067961162555330,0.7931983022222220,0.0312946759160192,0.793590526984127,0.030864580392493500,0.197592
0.4,0.7977285333333330,0.03068352782440620,0.7918458730158730,0.031380071889927500,0.7923503873015870,0.030947593744307500,0.20412
0.6,0.804435834920635,0.03610030955082450,0.7957558577777780,0.035754685348552600,0.7978195174603170,0.03647912370820550,0.22188
0.8,0.8025464888888890,0.03462416681733390,0.7898370336507940,0.03350011571795590,0.7946221841269840,0.035579636866669400,0.21760000000000000
1.0,0.8075819936507940,0.036396263986015400,0.7963495593650800,0.03762024286360090,0.7978212063492060,0.03732154892524010,0.23967200000000000
1.2,0.8014027047619050,0.03667790681675540,0.7895892774603180,0.038326174482865900,0.7894968634920640,0.038021877523294600,0.237704
1.4,0.8008212444444450,0.03659419175457850,0.7887005663492060,0.038156559339373900,0.7891011809523810,0.03761930348997490,0.2394
1.6,0.7959747682539680,0.03951268605308800,0.783525666031746,0.04096990036544300,0.783619746031746,0.04059721859408120,0.230984
2.0,0.7948708063492060,0.03932303770439150,0.7821018603174600,0.04075397513990920,0.7822061206349210,0.0404196370631815,0.232736
2.5,0.7938440761904760,0.03918199213300120,0.7802919403174600,0.040656418204973000,0.780588419047619,0.04033300860378190,0.234976
3.0,0.7938481142857140,0.039337201922592000,0.7791872698412700,0.04081138823809860,0.7800656888888890,0.04068737362004080,0.237832
4.0,0.7917557206349210,0.03917967040546950,0.7767617993650790,0.04063800473738600,0.7784819428571430,0.04063179284259150,0.23855200000000000
