dataset,a,b,c,d,g,h,display_source,peak_gamma,peak_value
shot=1000,0.7348552132196126,-0.002688964126003938,0.0,0.0400128801410916,0.4850088845257841,0.85,shot=1000,0.461,0.7735965831834433
shot=5000,0.7355867020409818,-0.003411009718648332,0.0,0.04149176816856588,0.5000009510843316,0.7,shot=5000,0.48,0.7754073391243189
shot=10000,0.7345961815318514,-0.003411009718648332,0.0,0.03951596968434845,0.5150009510843316,0.8,shot=10000,0.487,0.7724026383659273
