gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass
0.0,0.7670819111111111,0.02762033208359198,0.7632374,0.027575383765815482,0.7631054984126984,0.027537761269524133,0.139696
0.25,0.7747266666666667,0.03456831972839358,0.7710699288888889,0.034768622195322264,0.7708441396825396,0.03451642990827935,0.168916
0.4,0.774967873015873,0.034410552236338425,0.7713014526984127,0.0345935746942894,0.7713109142857143,0.034293783932059375,0.17316
0.5,0.7749138412698413,0.034274752361854705,0.771124667936508,0.03447202924910601,0.7710600634920635,0.03435804042970308,0.175816
0.6,0.7771423555555556,0.03346048246769411,0.7731239771428571,0.03374759641527012,0.7729114031746032,0.033652279589674115,0.17792000000000002
0.75,0.774838965079365,0.03366351267401548,0.770172873015873,0.03417949943763789,0.7706621587301588,0.03414855982089242,0.179152
1.0,0.7628653968253969,0.03525773351171155,0.7578294234920635,0.03592787744445074,0.7577605333333333,0.03593612688114535,0.17468
1.5,0.7648450793650794,0.035614715188777325,0.7583316165079366,0.03674218877935463,0.7579156698412698,0.03686448800332237,0.173896
2.0,0.7548289904761905,0.04104927439913313,0.7476198012698412,0.042032749846750345,0.7473662285714285,0.04205528176709064,0.16953200000000002
2.5,0.7410257015873016,0.04039745134951795,0.7328086596825397,0.04109490122630332,0.7331087301587301,0.04125105517626613,0.16244399999999998
3.0,0.7359096888888889,0.040526570503355654,0.7282037003174603,0.041040824598763154,0.7279525714285715,0.041177223981027106,0.161028
4.0,0.7305012952380953,0.039786949341778635,0.7244175352380953,0.04009294732110093,0.7243579809523809,0.04033124800190093,0.158476
5.0,0.726553853968254,0.039234903850295835,0.7212471809523808,0.039488824442795015,0.7212357142857143,0.039811673696060965,0.15507200000000002
6.0,0.7204702222222222,0.03837868088411766,0.715459151111111,0.038340786040336125,0.7159442412698412,0.03882240426304087,0.14929599999999998
