graph_family,n,p,seed,gamma_plot,gamma_raw,num_init_points,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
erdos_renyi,8,2,0,0.0,0.0,1,0.6177142857142857,0.5822857142857143,0.6177142857142857,0.026000000000000002
erdos_renyi,8,2,1,0.0,0.0,1,0.6487999999999999,0.6365333333333334,0.651,0.006
erdos_renyi,8,2,2,0.0,0.0,1,0.5064,0.49713333333333337,0.5064,0.01
erdos_renyi,8,2,3,0.0,0.0,1,0.5357777777777778,0.5391111111111111,0.5584444444444445,0.006
erdos_renyi,8,2,4,0.0,0.0,1,0.7318,0.6924000000000001,0.7412000000000001,0.05600000000000001
