graph_family,n,p,seed,gamma_plot,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last,num_init_points,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
erdos_renyi,8,2,3,4.0,4.0,3.9599999999999995,0.0,8.0,7.92,5,0.7046088888888888,0.7043773333333333,0.7156577777777777,0.13355999999999998
erdos_renyi,8,2,3,8.0,8.0,7.919999999999999,0.0,16.0,15.84,5,0.7046577777777777,0.7046417777777778,0.7144444444444444,0.13355999999999998
erdos_renyi,8,2,3,10.0,10.0,9.9,0.0,20.0,19.8,5,0.7046533333333332,0.704628,0.7144444444444444,0.13355999999999998
erdos_renyi,8,2,3,16.0,16.0,15.839999999999998,0.0,32.0,31.68,5,0.7049022222222222,0.704796,0.7142577777777779,0.1334
erdos_renyi,8,2,3,24.0,24.0,23.76,0.0,48.0,47.519999999999996,5,0.7056,0.7056222222222222,0.7147466666666666,0.13316
erdos_renyi,8,2,3,36.0,36.0,35.64000000000001,0.0,72.0,71.28,5,0.7046844444444444,0.7041733333333333,0.7128666666666666,0.12972
erdos_renyi,8,2,3,50.0,50.0,49.5,0.0,100.0,99.0,5,0.6974311111111111,0.69664,0.7055777777777779,0.11764000000000001
erdos_renyi,8,2,4,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8281560000000001,0.827736,0.833168,0.21936
erdos_renyi,8,2,4,1.0,1.0,0.9899999999999999,0.0,2.0,1.98,5,0.8736320000000001,0.8738024,0.8840999999999999,0.35492
erdos_renyi,8,2,4,2.0,2.0,1.9799999999999998,0.0,4.0,3.96,5,0.83948,0.8410112,0.8581160000000001,0.34487999999999996
erdos_renyi,8,2,4,3.0,3.0,2.97,0.0,6.0,5.9399999999999995,5,0.838824,0.8395223999999999,0.854476,0.34459999999999996
erdos_renyi,8,2,4,4.0,4.0,3.9599999999999995,0.0,8.0,7.92,5,0.83748,0.8383352000000001,0.852116,0.34152
erdos_renyi,8,2,4,8.0,8.0,7.919999999999999,0.0,16.0,15.84,5,0.8362960000000002,0.8370447999999999,0.847456,0.32567999999999997
erdos_renyi,8,2,4,10.0,10.0,9.9,0.0,20.0,19.8,5,0.837008,0.8378032,0.8466480000000001,0.32867999999999997
erdos_renyi,8,2,4,16.0,16.0,15.839999999999998,0.0,32.0,31.68,5,0.8372440000000001,0.8368552000000001,0.843604,0.31808000000000003
erdos_renyi,8,2,4,24.0,24.0,23.76,0.0,48.0,47.519999999999996,5,0.8298359999999999,0.8294419999999999,0.8365119999999999,0.29316
erdos_renyi,8,2,4,36.0,36.0,35.64000000000001,0.0,72.0,71.28,5,0.8116199999999999,0.8119596,0.818848,0.27204
erdos_renyi,8,2,4,50.0,50.0,49.5,0.0,100.0,99.0,5,0.7926200000000001,0.794604,0.8027719999999998,0.25484
