gamma_plot,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_optimal_mass
0.0,0.7634198476190476,0.02474689122071472,0.7580430882539683,0.025170028945524055,0.7575644063492064,0.025227765140939266,0.158304
1.0,0.7785315047619048,0.03476117098824251,0.7722100698412698,0.035093710510414114,0.7715321650793652,0.034944413524165586,0.214408
2.0,0.7747480761904761,0.033955472340588516,0.7672631873015874,0.033806064352342166,0.7666824380952381,0.03376344165826366,0.213008
3.0,0.7649874793650794,0.03169795127471045,0.756921106031746,0.03153307542828093,0.7564699047619048,0.03157118020282971,0.20863199999999998
4.0,0.7619769523809523,0.030758154776414803,0.7516463390476191,0.029768986406813545,0.7530871492063492,0.030192229204176045,0.20124
8.0,0.7393859428571428,0.02777885970513458,0.731460093968254,0.0277133647498305,0.7315174222222222,0.02784482872356983,0.17276799999999998
10.0,0.7331061714285714,0.025539241011783398,0.7255635034920636,0.025215479153203317,0.7252942349206349,0.025606328789466,0.165512
16.0,0.7226645206349206,0.01959118493490377,0.7154200634920634,0.019066450030523353,0.7149887873015872,0.019401854773980678,0.143872
24.0,0.7098180317460318,0.018890033961695876,0.7030164152380952,0.018519959495220627,0.703117980952381,0.018917593265840964,0.124512
36.0,0.6936075047619048,0.02131561977557044,0.687057175873016,0.021027685189024224,0.6870369650793651,0.02087600855644677,0.104824
50.0,0.6811881142857144,0.023263664376912588,0.6753250730158731,0.023325062658527875,0.6749232761904762,0.023213034492553335,0.091696
