graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=0.80,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8430666666666666,0.8435222222222223,0.8496444444444444,0.25980000000000003,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=0.80,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5651555555555556,0.5761488888888889,0.6116,0.039,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=0.80,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8430666666666666,0.8435133333333334,0.8504444444444444,0.25980000000000003,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=0.80,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5476,0.5486466666666667,0.5642444444444444,0.0182,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=0.80,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7427111111111111,0.7414111111111111,0.7574888888888889,0.109,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8418222222222221,0.8424999999999999,0.8496,0.25939999999999996,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.8418,0.8412666666666666,0.850311111111111,0.2602,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8417999999999999,0.8425022222222222,0.8500666666666667,0.25939999999999996,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5502444444444445,0.5494888888888889,0.5649111111111111,0.0212,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7406666666666667,0.7387533333333334,0.7574666666666666,0.11019999999999999,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
