dataset,model,model_formula,peak_gamma,peak_value,baseline_value,left_curvature,decay_amplitude,decay_scale,tail_slope,weighted_sse,tail_value
fixed,asymmetric_rise_exp_linear_decay,$R^\star-c_-(|\gamma|-\gamma^\star)^2$ before the peak; $R^\star-A[1-e^{-(|\gamma|-\gamma^\star)/\tau}]-m(|\gamma|-\gamma^\star)$ after the peak,1.0,0.7715321650793652,0.7575644063492064,0.013967758730158764,0.042284724020084416,5.710407321449596,0.0011963113120559642,0.4530737805475843,0.6874686586076093
ascending,asymmetric_rise_exp_linear_decay,$R^\star-c_-(|\gamma|-\gamma^\star)^2$ before the peak; $R^\star-A[1-e^{-(|\gamma|-\gamma^\star)/\tau}]-m(|\gamma|-\gamma^\star)$ after the peak,1.0,0.7648819301587302,0.7575644063492064,0.007317523809523774,0.020562918224881682,1.2702255322528617,0.00042041318461360567,0.19564190567717904,0.7296045504723946
