,graph_family,n,p,seed,gamma_plot,gamma_raw,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
0,erdos_renyi,8,2,0,0.0,0.0,0.61811,0.6177751428571427,0.6192542857142858,0.024000000000000004
1,erdos_renyi,8,2,0,0.25,0.25,0.6180857142857142,0.6175915714285714,0.6183171428571429,0.02533
2,erdos_renyi,8,2,0,0.33,0.33,0.6179128571428573,0.6174182857142857,0.6184171428571429,0.025429999999999998
3,erdos_renyi,8,2,0,0.38,0.38,0.6173385714285714,0.6171711428571428,0.6185757142857142,0.02539
4,erdos_renyi,8,2,0,0.4,0.4,0.6171942857142858,0.6170950000000001,0.6188385714285713,0.025489999999999995
5,erdos_renyi,8,2,0,0.5,0.5,0.6098285714285714,0.6075672857142858,0.6098285714285714,0.020169999999999997
6,erdos_renyi,8,2,0,0.56,0.56,0.5903385714285714,0.5901264285714285,0.5914271428571428,0.018289999999999997
7,erdos_renyi,8,2,0,0.6,0.6,0.5889457142857142,0.5884325714285714,0.5895771428571429,0.0209
8,erdos_renyi,8,2,0,0.64,0.64,0.8073271428571429,0.8076278571428572,0.8087128571428571,0.2203
9,erdos_renyi,8,2,0,0.7,0.7,0.8069828571428571,0.8075025714285715,0.8089657142857144,0.22164
10,erdos_renyi,8,2,0,0.74,0.74,0.8067471428571429,0.8073007142857144,0.8089542857142857,0.22222999999999998
11,erdos_renyi,8,2,0,0.8,0.8,0.8064742857142857,0.8069235714285714,0.80827,0.22300999999999999
12,erdos_renyi,8,2,0,0.85,0.85,0.8061614285714286,0.8066037142857143,0.8080100000000001,0.22338
13,erdos_renyi,8,2,0,0.9,0.9,0.8057014285714287,0.8062590000000001,0.8077657142857143,0.22359
14,erdos_renyi,8,2,0,1.0,1.0,0.8049900000000001,0.80551,0.8069485714285715,0.22429000000000002
15,erdos_renyi,8,2,0,1.1,1.1,0.8041328571428571,0.8047875714285715,0.80614,0.22482
16,erdos_renyi,8,2,0,1.2,1.2,0.8035114285714285,0.8041159999999999,0.8054942857142857,0.22493999999999997
17,erdos_renyi,8,2,0,1.25,1.25,0.8031271428571428,0.8037611428571427,0.8051685714285713,0.225
18,erdos_renyi,8,2,0,1.28,1.28,0.8028142857142857,0.803517,0.8050371428571428,0.22502999999999998
19,erdos_renyi,8,2,0,1.3,1.3,0.8027214285714285,0.8033680000000001,0.8048957142857142,0.22508
20,erdos_renyi,8,2,0,1.4,1.4,0.8020614285714286,0.8027605714285715,0.8042742857142857,0.22515
21,erdos_renyi,8,2,0,1.5,1.5,0.8015685714285714,0.8022015714285715,0.8037114285714285,0.22572
22,erdos_renyi,8,2,0,2.0,2.0,0.7993685714285714,0.7998284285714286,0.8019928571428572,0.2263
23,erdos_renyi,8,2,0,3.0,3.0,0.7971428571428572,0.7974244285714285,0.7991157142857143,0.22691
24,erdos_renyi,8,2,0,4.0,4.0,0.7960857142857144,0.7964064285714285,0.7972385714285715,0.2269
25,erdos_renyi,8,2,0,5.0,5.0,0.7950571428571429,0.7954292857142857,0.7962842857142858,0.22515
26,erdos_renyi,8,2,0,6.0,6.0,0.7936542857142859,0.793692142857143,0.7948414285714287,0.22129000000000001
27,erdos_renyi,8,2,0,7.0,7.0,0.7886114285714285,0.7865821428571429,0.7893771428571428,0.21428
28,erdos_renyi,8,2,0,8.0,8.0,0.7750614285714287,0.7683892857142858,0.7750614285714287,0.19816999999999999
29,erdos_renyi,8,2,0,10.0,10.0,0.7016085714285715,0.6906114285714284,0.7016085714285715,0.11623
30,erdos_renyi,8,2,0,12.0,12.0,0.65129,0.6450624285714286,0.65129,0.07248000000000002
