,graph_family,n,p,seed,gamma_plot,gamma_raw,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
0,erdos_renyi,8,2,0,0.0,0.0,0.7924107142857143,0.8074776785714286,0.8392857142857143,0.203125
1,erdos_renyi,8,2,0,0.25,0.25,0.6183035714285714,0.6244419642857142,0.6551339285714286,0.0078125
2,erdos_renyi,8,2,0,0.33,0.33,0.6037946428571429,0.6250000000000001,0.6629464285714286,0.0078125
3,erdos_renyi,8,2,0,0.38,0.38,0.6160714285714286,0.6235491071428572,0.6529017857142857,0.0078125
4,erdos_renyi,8,2,0,0.4,0.4,0.6383928571428571,0.6219866071428571,0.6462053571428571,0.0390625
5,erdos_renyi,8,2,0,0.5,0.5,0.6450892857142857,0.6258928571428571,0.6450892857142857,0.03125
6,erdos_renyi,8,2,0,0.56,0.56,0.5803571428571429,0.5963169642857143,0.6171875,0.0
7,erdos_renyi,8,2,0,0.6,0.6,0.5926339285714286,0.6049107142857143,0.6194196428571429,0.0078125
8,erdos_renyi,8,2,0,0.64,0.64,0.7957589285714286,0.8043526785714284,0.828125,0.2109375
9,erdos_renyi,8,2,0,0.7,0.7,0.59375,0.5927455357142859,0.6339285714285714,0.0390625
10,erdos_renyi,8,2,0,0.74,0.74,0.7901785714285714,0.7946428571428571,0.8191964285714286,0.203125
11,erdos_renyi,8,2,0,0.8,0.8,0.7310267857142857,0.6969866071428572,0.7321428571428571,0.15625
12,erdos_renyi,8,2,0,0.85,0.85,0.7901785714285714,0.8013392857142858,0.8359375,0.21875
13,erdos_renyi,8,2,0,0.9,0.9,0.5602678571428571,0.5814732142857142,0.6316964285714286,0.0234375
14,erdos_renyi,8,2,0,1.0,1.0,0.8102678571428571,0.8119419642857142,0.8415178571428571,0.265625
15,erdos_renyi,8,2,0,1.1,1.1,0.7879464285714286,0.8004464285714284,0.8314732142857143,0.21875
