method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,num_initializations,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,final_objective_loss
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,5,0.7610914285714285,0.7623908571428571,0.7672285714285715,0.20104000000000002,1.67236
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,1,5,0.788416,0.7878648,0.790872,0.0624,2.11584
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,2,5,0.676336,0.6781968,0.6846,0.17868,3.23664
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,3,5,0.7364622222222222,0.7355653333333334,0.7400666666666667,0.12347999999999999,2.37184
CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,4,5,0.835024,0.8335687999999999,0.838148,0.22788,1.64976
CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,5,0.7590114285714286,0.7582325714285715,0.7660342857142857,0.21475999999999998,1.2642999999999995
CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,1,5,0.7813800000000001,0.7820344,0.786536,0.07024000000000001,1.6950499999999995
CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,2,5,0.676064,0.676802,0.682988,0.18664,2.61
CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,3,5,0.7256666666666667,0.7265151111111111,0.7314222222222222,0.12704,1.9070500000000006
CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,4,5,0.8555720000000001,0.8553495999999999,0.864276,0.3774,0.8449499999999993
CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,5,0.7595942857142857,0.7590834285714286,0.7653828571428571,0.21796,1.064369230769231
CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,1,5,0.777064,0.7768228,0.786108,0.07116,1.4900307692307686
CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,2,5,0.673048,0.6745720000000001,0.681716,0.19056,2.1999999999999993
CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,3,5,0.7240177777777778,0.7248684444444444,0.7304444444444445,0.123,1.6368615384615386
CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,4,5,0.8522040000000001,0.8525476,0.85904,0.37624,0.6273230769230774
CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,5,0.7560742857142857,0.75684,0.7643657142857142,0.21315999999999996,0.8627200000000002
CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,1,5,0.769876,0.7720048,0.780428,0.06492,1.3056000000000003
CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,2,5,0.671204,0.6733296,0.681716,0.19352,1.7291999999999998
CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,3,5,0.7240933333333334,0.7235262222222223,0.7288533333333334,0.12448000000000001,1.3879200000000005
CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,4,5,0.8560359999999999,0.855846,0.863376,0.37412,0.40144
CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,5,0.8039371428571428,0.803812,0.8100971428571428,0.27144,0.37188571428571426
CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,1,5,0.773588,0.77339,0.77878,0.06272,1.0413714285714284
CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,2,5,0.668992,0.6704247999999999,0.678568,0.18696,1.2598857142857143
CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,3,5,0.7091111111111111,0.7096186666666666,0.7167466666666666,0.13040000000000002,1.097828571428571
CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,4,5,0.8547,0.8555756000000001,0.863096,0.28928000000000004,0.2917714285714287
CVaR,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,0,5,0.8108285714285713,0.8100160000000001,0.8161200000000001,0.24748,0.11079999999999997
CVaR,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,1,5,0.8063079999999999,0.8053124,0.8141399999999999,0.08784,0.5696
CVaR,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,2,5,0.6588160000000001,0.6601948,0.6701520000000001,0.14612,0.788
CVaR,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,3,5,0.707768888888889,0.7057604444444444,0.7162222222222222,0.11644000000000002,0.6943999999999998
CVaR,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,4,5,0.8514320000000002,0.8491376,0.858384,0.24704,0.11840000000000009
CVaR,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,0,5,0.7924114285714285,0.7929771428571428,0.8082971428571429,0.21812,0.1708
CVaR,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,1,5,0.73458,0.7325508000000001,0.7406680000000001,0.04492,0.5516
CVaR,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,2,5,0.6518879999999999,0.6511968,0.667376,0.1292,0.4556000000000001
CVaR,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,3,5,0.6886666666666666,0.6909133333333333,0.7055733333333334,0.08296,0.4055999999999999
CVaR,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,4,5,0.7786440000000001,0.7780088000000001,0.7887679999999999,0.18384,0.04399999999999994
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,0,5,0.7610914285714285,0.7623908571428571,0.7672285714285715,0.20104000000000002,1.67236
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,1,5,0.788416,0.7878648,0.790872,0.0624,2.11584
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,2,5,0.676336,0.6781968,0.6846,0.17868,3.23664
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,3,5,0.7364622222222222,0.7355653333333334,0.7400666666666667,0.12347999999999999,2.37184
QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,4,5,0.835024,0.8335687999999999,0.838148,0.22788,1.64976
QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,5,0.7627942857142858,0.76142,0.7674971428571429,0.21339999999999998,1.4479942731603788
QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,1,5,0.7855960000000001,0.7850344,0.788648,0.06384,1.8684734852069678
QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,2,5,0.675036,0.6762004,0.681844,0.18975999999999998,2.589787973784351
QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,3,5,0.7182222222222222,0.7179955555555555,0.7220444444444445,0.12496,2.153907671501142
QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,4,5,0.8642200000000001,0.8654728,0.8699520000000002,0.3556,1.0817571333162117
QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,5,0.7621885714285714,0.7610977142857143,0.76504,0.21888000000000002,1.2633732648807772
QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,1,5,0.7769360000000001,0.7765380000000001,0.7807320000000001,0.0628,1.6968593085027028
QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,2,5,0.672164,0.6729124000000001,0.680912,0.19564,2.064497357310728
QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,3,5,0.7121244444444443,0.7128355555555557,0.7177377777777778,0.12423999999999999,1.883934251537378
QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,4,5,0.8603759999999999,0.86147,0.866792,0.37039999999999995,0.8938439291021618
QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,5,0.8138971428571429,0.8130411428571428,0.818977142857143,0.29956,0.7865560350095919
QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,1,5,0.8089679999999999,0.8092396000000001,0.815728,0.08788,1.2497857453053538
QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,2,5,0.6700039999999999,0.6715548,0.678608,0.19488,1.5494652151659067
QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,3,5,0.7080488888888888,0.7077324444444445,0.7152933333333333,0.13008,1.5428092471822954
QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,4,5,0.8552280000000001,0.8550108000000002,0.8627039999999999,0.37532,0.7271223223367047
QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,5,0.7614571428571428,0.7617417142857142,0.7672685714285714,0.22843999999999998,0.8006474812469074
QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,1,5,0.8053760000000001,0.8055595999999999,0.8117279999999999,0.08888,1.0603661324069438
QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,2,5,0.6688080000000001,0.6702936,0.676704,0.19648,1.1073765618756877
QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,3,5,0.7058311111111111,0.7053066666666667,0.7139511111111111,0.1336,1.2369023801071037
QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,4,5,0.850736,0.8503255999999999,0.86022,0.37900000000000006,0.5514785215935689
QTL,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,0,5,0.8120685714285715,0.8104702857142858,0.8175714285714285,0.30576,0.45753116390421755
QTL,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,1,5,0.8063559999999999,0.8057740000000001,0.8175399999999999,0.09928000000000001,0.7957862197552975
QTL,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,2,5,0.6687559999999999,0.6684384,0.675788,0.19676,0.7492536609391419
QTL,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,3,5,0.7064888888888888,0.7047057777777778,0.7142444444444445,0.13228,0.8768881670205513
QTL,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,4,5,0.849096,0.8472136000000001,0.8569599999999999,0.38432000000000005,0.3909770934167761
QTL,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,0,5,0.8019428571428572,0.7996228571428571,0.8092114285714287,0.29447999999999996,0.38098944460431594
QTL,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,1,5,0.7645800000000001,0.762792,0.7766879999999999,0.07776000000000001,0.6868980430416491
QTL,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,2,5,0.668528,0.668438,0.674756,0.20076,0.5184423755773733
QTL,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,3,5,0.7041511111111112,0.7050071111111111,0.7120266666666667,0.131,0.6591952401308657
QTL,6,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,4,5,0.8373240000000001,0.8370672000000001,0.8458159999999999,0.3302,0.31724060543772986
