method,model,formula,peak_control_r,peak_value,baseline_value,tail_value,left_curvature,right_curvature,weighted_sse
CVaR,baseline_peak_tail_anchored_asymmetric_quadratic,R*=peak; R(r)=R*-c_left(r-r*)^2 for r<=r*; R(r)=R*-c_right(r-r*)^2 for r>r*,0.6989700043360187,0.7670306920634922,0.7594659301587302,0.7292380190476191,0.015483822563788755,0.4170499421341947,0.14738836070654832
QTL,baseline_peak_tail_anchored_asymmetric_quadratic,R*=peak; R(r)=R*-c_left(r-r*)^2 for r<=r*; R(r)=R*-c_right(r-r*)^2 for r>r*,0.30102999566398114,0.7712292063492063,0.7594659301587302,0.7553051936507937,0.12981017914467533,0.03259383312124191,0.32108703169469655
