control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,graph_seed,init_id,init_seed,device_seed,final_mean_ratio_cvar,final_mean_ratio_qtl,tail_mean_ratio_cvar,tail_mean_ratio_qtl,peak_mean_ratio_cvar,peak_mean_ratio_qtl,final_optimal_mass_cvar,final_optimal_mass_qtl,final_mean_ratio_cvar_minus_qtl,tail_mean_ratio_cvar_minus_qtl,peak_mean_ratio_cvar_minus_qtl,final_optimal_mass_cvar_minus_qtl
0,-0.0,1.0,0.0,-0.0,erdos_renyi,4,2,20262431,950002,0.7746799999999999,0.7746799999999999,0.773242,0.773242,0.7776400000000001,0.7776400000000001,0.084,0.084,0.0,0.0,0.0,0.0
0,-0.0,1.0,0.0,-0.0,erdos_renyi,4,3,20262432,950003,0.73706,0.73706,0.7357060000000001,0.7357060000000001,0.7425200000000001,0.7425200000000001,0.0988,0.0988,0.0,0.0,0.0,0.0
0,-0.0,1.0,0.0,-0.0,erdos_renyi,4,4,20262433,950004,0.8720600000000001,0.8720600000000001,0.870732,0.870732,0.874,0.874,0.254,0.254,0.0,0.0,0.0,0.0
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,0,0,20262429,910100,0.8713428571428571,0.8734000000000001,0.8696914285714286,0.8723085714285714,0.8764571428571429,0.8776285714285714,0.366,0.3614,-0.0020571428571429795,-0.0026171428571428734,-0.00117142857142849,0.004599999999999993
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,0,1,20262430,910101,0.6225714285714286,0.6226857142857144,0.6207771428571429,0.6200342857142858,0.6278857142857143,0.6275714285714286,0.0306,0.0398,-0.00011428571428584444,0.0007428571428571562,0.0003142857142857114,-0.009200000000000003
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,0,2,20262431,910102,0.8789142857142858,0.8897428571428572,0.8797742857142857,0.8895514285714284,0.8898,0.8924000000000001,0.42899999999999994,0.4202,-0.01082857142857141,-0.009777142857142707,-0.0026000000000000467,0.008799999999999919
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,0,3,20262432,910103,0.6178571428571429,0.6180571428571427,0.6176514285714286,0.6172714285714285,0.6249428571428571,0.6252285714285714,0.020999999999999998,0.022600000000000002,-0.00019999999999986695,0.000380000000000158,-0.0002857142857142225,-0.0016000000000000042
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,0,4,20262433,910104,0.8043714285714286,0.8100857142857143,0.8032685714285716,0.8079342857142857,0.8110857142857143,0.8146571428571427,0.22719999999999999,0.223,-0.005714285714285672,-0.004665714285714162,-0.0035714285714284477,0.0041999999999999815
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,1,0,20262429,920100,0.8680199999999999,0.8720000000000001,0.8683160000000001,0.8717440000000002,0.87238,0.8749199999999998,0.13740000000000002,0.1308,-0.003980000000000206,-0.0034280000000000976,-0.0025399999999997647,0.0066000000000000225
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,1,1,20262430,920101,0.6832,0.6845000000000001,0.679502,0.680016,0.6849999999999999,0.6845000000000001,0.0018,0.0022,-0.0013000000000000789,-0.0005139999999999034,0.0004999999999998339,-0.0004000000000000002
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,1,2,20262431,920102,0.8671800000000001,0.8703800000000002,0.8706439999999999,0.8730580000000001,0.87334,0.8760200000000001,0.1274,0.12240000000000001,-0.0032000000000000917,-0.0024140000000002493,-0.0026800000000001267,0.0050000000000000044
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,1,3,20262432,920103,0.66698,0.6748799999999999,0.671944,0.67474,0.67572,0.67948,0.0216,0.0004,-0.007899999999999907,-0.0027960000000000207,-0.0037599999999999856,0.0212
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,1,4,20262433,920104,0.8215200000000001,0.82622,0.8197660000000001,0.8256140000000001,0.82624,0.8283200000000001,0.063,0.0634,-0.0046999999999998154,-0.005847999999999964,-0.002080000000000082,-0.0003999999999999976
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,2,0,20262429,930100,0.7599600000000001,0.75762,0.7638560000000001,0.762348,0.77066,0.7693,0.2844,0.28859999999999997,0.0023400000000001198,0.0015080000000000648,0.0013600000000000279,-0.0041999999999999815
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,2,1,20262430,930101,0.5444000000000001,0.54572,0.5459620000000001,0.546956,0.5513999999999999,0.55048,0.027000000000000003,0.03,-0.0013199999999998768,-0.0009939999999999394,0.0009199999999999209,-0.0029999999999999957
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,2,2,20262431,930102,0.8161200000000001,0.8148799999999999,0.817772,0.816718,0.8224199999999999,0.82208,0.4054,0.4074,0.0012400000000001299,0.0010539999999999994,0.00033999999999989594,-0.0020000000000000018
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,2,3,20262432,930103,0.54798,0.54604,0.546542,0.546434,0.55334,0.55244,0.0304,0.0324,0.0019400000000000528,0.00010799999999999699,0.0009000000000000119,-0.0019999999999999983
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,2,4,20262433,930104,0.71186,0.71092,0.709878,0.708546,0.7171200000000001,0.71492,0.186,0.1904,0.0009400000000000519,0.0013319999999999999,0.0022000000000000908,-0.004400000000000015
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,3,0,20262429,940100,0.8452,0.8461111111111111,0.8477022222222222,0.8489022222222221,0.8516,0.8523555555555555,0.251,0.2468,-0.0009111111111111958,-0.0011999999999998678,-0.0007555555555555094,0.004200000000000009
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,3,1,20262430,940101,0.6118888888888889,0.5702444444444444,0.6097466666666668,0.5652933333333333,0.6154666666666666,0.5703111111111111,0.007599999999999999,0.0106,0.041644444444444484,0.044453333333333456,0.045155555555555504,-0.003000000000000001
