control_index,control_r,alpha,one_minus_alpha,gamma
0,-0.0,1.0,0.0,-0.0
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255
2,0.1870866433571444,0.65,0.35,0.7483465734285776
3,0.30102999566398114,0.5,0.5,1.2041199826559246
4,0.4559319556497244,0.35,0.65,1.8237278225988975
5,0.6989700043360187,0.2,0.8,2.795880017344075
6,0.9999999999999998,0.1,0.9,3.999999999999999
