task_id,method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_objective_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,shots,steps,tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_tilt_learning_rate_penalty,simulator
QTL|r=0.0969100130081|erdos_renyi|g=0|init=0,QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,0,20262429,910100,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.7237765509838607, 0.8909155627758935, 3.377071231887804, 4.454844933271084]",0.7572760624999557,0.8734000000000001,0.8723085714285714,0.8776285714285714,1.0,0.3614,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.0969100130081|erdos_renyi|g=0|init=1,CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,1,20262430,910101,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.503541983481904, 3.574993958704026, 5.435978070475825, 1.0279869416015832]",2.160499999999997,0.6225714285714286,0.6207771428571429,0.6278857142857143,1.0,0.0306,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.0969100130081|erdos_renyi|g=0|init=1,QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,1,20262430,910101,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.4925464707981995, 3.5778759116888383, 5.528017960809422, 0.9135270248612942]",2.3038510264353316,0.6226857142857144,0.6200342857142858,0.6275714285714286,1.0,0.0398,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.0969100130081|erdos_renyi|g=0|init=2,CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,2,20262431,910102,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.3360651760478378, 3.779281772758809, 1.048597825789373, 2.846039196422155]",0.4637500000000001,0.8789142857142858,0.8797742857142857,0.8898,1.0,0.42899999999999994,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.0969100130081|erdos_renyi|g=0|init=2,QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,2,20262431,910102,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.30634466257783033, 3.729339778848557, 1.0786104249173216, 2.873647722129521]",0.6491094176383146,0.8897428571428572,0.8895514285714284,0.8924000000000001,1.0,0.4202,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.0969100130081|erdos_renyi|g=0|init=3,CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,3,20262432,910103,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[4.317431231091155, 3.04809846856799, 3.2726617657104056, 2.0543887883476453]",2.2272499999999997,0.6178571428571429,0.6176514285714286,0.6249428571428571,1.0,0.020999999999999998,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.0969100130081|erdos_renyi|g=0|init=3,QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,3,20262432,910103,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[4.291264435792845, 3.0774583970729883, 3.2796010530826893, 2.060958756497439]",2.403649775290312,0.6180571428571427,0.6172714285714285,0.6252285714285714,1.0,0.022600000000000002,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.0969100130081|erdos_renyi|g=0|init=4,CVaR,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,4,20262433,910104,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.603249102698476, 5.109281357039597, 5.909545170884781, 4.328587316136158]",0.9275000000000007,0.8043714285714286,0.8032685714285716,0.8110857142857143,1.0,0.22719999999999999,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.0969100130081|erdos_renyi|g=0|init=4,QTL,1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,8,2,0,4,20262433,910104,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.5969789602725617, 5.084950434586653, 5.919578263945164, 4.339433642367224]",1.12608508393798,0.8100857142857143,0.8079342857142857,0.8146571428571427,1.0,0.223,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.187086643357|erdos_renyi|g=0|init=0,CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,0,20262429,910200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.7055350285210586, 0.9161119644859144, 3.3947516356804304, 4.4415725589698924]",0.4467692307692308,0.8678571428571429,0.8700085714285715,0.8746285714285715,1.0,0.3596,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
