dataset,model_name,model_formula,a,b,c,d,weighted_sse,peak_gamma,peak_value
shot=1000,exp_quad_shifted,$d + (a+bx)e^{-cx^2}$,0.048197491971383906,0.014716191442507232,0.2148337348536162,0.7178247665138702,7.82159013448399,0.6007509386733417,0.7706077245430311
shot=5000,exp_quad_shifted,$d + (a+bx)e^{-cx^2}$,0.042569941116228124,0.01890198700402553,0.28810177420520755,0.7235886840660802,6.621022667626283,0.6057571964956195,0.7721893363095198
shot=10000,exp_quad_shifted,$d + (a+bx)e^{-cx^2}$,0.04216254578324915,0.018133151186781216,0.3224569789053377,0.7228903174343445,1.2217499930859161,0.5406758448060075,0.7701822258568207
