graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,num_init_points,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
erdos_renyi,8,2,3,2.0,0.0,2.0,5,0.7664044444444444,0.7636751111111112,0.7748222222222223,0.18148000000000003
erdos_renyi,8,2,3,2.5,0.0,2.5,5,0.765568888888889,0.7633382222222223,0.7757066666666667,0.18228000000000003
erdos_renyi,8,2,3,3.0,0.0,3.0,5,0.7651155555555555,0.7631151111111112,0.7744888888888889,0.18196
erdos_renyi,8,2,3,4.0,0.0,4.0,5,0.7647377777777777,0.7627302222222222,0.7741822222222222,0.18216000000000002
erdos_renyi,8,2,4,0.0,0.0,0.0,5,0.8324360000000001,0.8315163999999999,0.8359,0.22352
erdos_renyi,8,2,4,0.2,0.0,0.2,5,0.825776,0.825268,0.8298960000000001,0.23643999999999998
erdos_renyi,8,2,4,0.4,0.0,0.4,5,0.8192679999999999,0.8201312,0.829448,0.25188
erdos_renyi,8,2,4,0.6,0.0,0.6,5,0.8864279999999999,0.887116,0.8928280000000001,0.36063999999999996
erdos_renyi,8,2,4,0.8,0.0,0.8,5,0.8862119999999999,0.8867099999999999,0.893336,0.36916000000000004
erdos_renyi,8,2,4,1.0,0.0,1.0,5,0.88414,0.8850168,0.8928040000000002,0.37320000000000003
erdos_renyi,8,2,4,1.2,0.0,1.2,5,0.8826920000000001,0.8836404,0.89226,0.37896
erdos_renyi,8,2,4,1.4,0.0,1.4,5,0.8808239999999999,0.8820888,0.892508,0.3816
erdos_renyi,8,2,4,1.6,0.0,1.6,5,0.879152,0.8807724,0.8911519999999999,0.38351999999999997
erdos_renyi,8,2,4,2.0,0.0,2.0,5,0.8762679999999999,0.8779783999999999,0.890512,0.38584
erdos_renyi,8,2,4,2.5,0.0,2.5,5,0.874788,0.8757164000000002,0.888956,0.38739999999999997
erdos_renyi,8,2,4,3.0,0.0,3.0,5,0.8673120000000001,0.867396,0.8784280000000001,0.35419999999999996
erdos_renyi,8,2,4,4.0,0.0,4.0,5,0.8430120000000001,0.8453535999999999,0.863964,0.38123999999999997
