dataset,model,model_formula,a0,a1,a2,a3,weighted_sse,peak_gamma,peak_value,tail_value
fixed,robust_sem_weighted_cubic,$a_0+a_1|\gamma|+a_2|\gamma|^2+a_3|\gamma|^3$,0.7931811901066294,-0.007770598524716546,-0.0010028981609642793,0.00019626582217121557,0.07884929690147298,0.0,0.7931811901066294,0.7586134380512926
ascending,robust_sem_weighted_cubic,$a_0+a_1|\gamma|+a_2|\gamma|^2+a_3|\gamma|^3$,0.7574881102416962,0.004925290362958468,-0.0003073961070355209,-0.00018940205301400936,0.12023037603492183,2.453066332916145,0.7649245659793068,0.7601492025880651
