graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_raw
erdos_renyi,8,2,0,Expectation,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.6142857142857144,0.5814285714285715,0.6142857142857144,0.03,0.0,0.0
erdos_renyi,8,2,1,Expectation,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.618,0.6005,0.618,0.01,0.0,0.0
erdos_renyi,8,2,2,Expectation,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.529,0.5065,0.529,0.01,0.0,0.0
erdos_renyi,8,2,3,Expectation,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.5722222222222223,0.538888888888889,0.5722222222222223,0.0,0.0,0.0
erdos_renyi,8,2,4,Expectation,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.732,0.6675,0.732,0.05,0.0,0.0
